smiles,iupac_name,is_toxic
C,methane,0
CC,ethane,0
CCC,propane,0
CCCC,butane,0
CCCCC,pentane,0
CCCCCC,hexane,1
CCCCCCC,heptane,1
CCCCCCCC,octane,0
CCCCCCCCC,nonane,0
CCCCCCCCCC,decane,0
CCCCCCCCCCC,undecane,0
CCCCCCCCCCCC,dodecane,0
CC(C)C,2-methylpropane,0
CCC(C)C,2-methylbutane,0
CC(C)(C)C,"2,2-dimethylpropane",0
C1CC1,cyclopropane,0
C1CCC1,cyclobutane,0
C1CCCC1,cyclopentane,0
C1CCCCC1,cyclohexane,0
C1CCCCCC1,cycloheptane,0
CC1CCCC1,methylcyclopentane,0
CC1CCCCC1,methylcyclohexane,0
CCC1CCCCC1,ethylcyclohexane,0
CCCC(C)C,2-methylpentane,0
CCC(C)CC,3-methylpentane,0
CC(C)C(C)C,"2,3-dimethylbutane",0
CCCCC(C)C,2-methylhexane,0
CCCC(C)CC,3-methylhexane,0
C=C,ethene,0
CC=C,prop-1-ene,0
CCC=C,but-1-ene,0
CC=CC,but-2-ene,0
CC(=C)C,2-methylprop-1-ene,0
CCCC=C,pent-1-ene,0
CCC=CC,pent-2-ene,0
CCCCC=C,hex-1-ene,0
C1CCC=CC1,cyclohexene,0
C1CC=CC1,cyclopentene,0
C=CC=C,"buta-1,3-diene",1
CC(=C)C=C,"2-methylbuta-1,3-diene",0
C=CC1=CC=CC=C1,ethenylbenzene,1
C#C,ethyne,0
CC#C,prop-1-yne,0
CCC#C,but-1-yne,0
CC#CC,but-2-yne,0
CCCC#C,pent-1-yne,0
C1=CC=CC=C1,benzene,1
CC1=CC=CC=C1,methylbenzene,1
CCC1=CC=CC=C1,ethylbenzene,1
CC1=CC=CC=C1C,"1,2-dimethylbenzene",1
CC1=CC(=CC=C1)C,"1,3-dimethylbenzene",1
CC1=CC=C(C=C1)C,"1,4-dimethylbenzene",1
CCCC1=CC=CC=C1,propylbenzene,1
CC(C)C1=CC=CC=C1,isopropylbenzene,1
CC1=C(C(=CC=C1)C)C,"1,2,3-trimethylbenzene",1
CC1=CC(=C(C=C1)C)C,"1,2,4-trimethylbenzene",1
CC1=CC(=CC(=C1)C)C,"1,3,5-trimethylbenzene",1
C1=CC=C2C=CC=CC2=C1,naphthalene,1
C1=CC=C2C=CC=C2C=C1,azulene,0
C1=CC=C(C=C1)C2=CC=CC=C2,"1,1'-biphenyl",0
C1C=CC2=CC=CC=C21,1H-indene,0
C1=CC=C2C=C3C=CC=CC3=CC2=C1,anthracene,1
C1=CC=C2C(=C1)C=CC3=CC=CC=C32,phenanthrene,1
C1C2=CC=CC=C2C3=CC=CC=C31,9H-fluorene,0
C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2,pyrene,1
C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,fluoranthene,1
C1=CC2=C3C(=C1)C=CC3=CC=C2,acenaphthylene,1
C1CC2=CC=CC3=C2C1=CC=C3,"1,2-dihydroacenaphthylene",1
C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC=CC=C43,chrysene,1
C1=CC=C2C(=C1)C3=CC=CC=C3C4=CC=CC=C24,triphenylene,1
CO,methanol,1
CCO,ethanol,0
CCCO,propan-1-ol,0
CC(C)O,propan-2-ol,0
CCCCO,butan-1-ol,0
CCC(C)O,butan-2-ol,0
CC(C)CO,2-methylpropan-1-ol,0
CC(C)(C)O,2-methylpropan-2-ol,0
CCCCCO,pentan-1-ol,0
CCCC(C)O,pentan-2-ol,0
CCC(CC)O,pentan-3-ol,0
CC(C)CCO,3-methylbutan-1-ol,0
CCCCCCO,hexan-1-ol,0
CCCCCCCO,heptan-1-ol,0
CCCCCCCCO,octan-1-ol,0
CCCCCCCCCO,nonan-1-ol,0
CCCCCCCCCCO,decan-1-ol,0
C=CCO,prop-2-en-1-ol,1
C1CCC(C1)O,cyclopentanol,0
C1CCC(CC1)O,cyclohexanol,0
C1=CC=C(C=C1)CO,phenylmethanol,1
C1=CC=C(C=C1)CCO,2-phenylethanol,0
C1=CC=C(C=C1)O,hydroxybenzene,1
CC1=CC=CC=C1O,2-methylphenol,1
CC1=CC(=CC=C1)O,3-methylphenol,1
CC1=CC=C(C=C1)O,4-methylphenol,1
CCC1=CC=CC=C1O,2-ethylphenol,1
CCC1=CC=C(C=C1)O,4-ethylphenol,1
CC1=CC(=C(C=C1)O)C,"2,4-dimethylphenol",1
CCCC1=CC=C(C=C1)O,4-propylphenol,1
C1=CC=C2C(=C1)C=CC=C2O,naphthalen-1-ol,1
C1=CC=C2C=C(C=CC2=C1)O,naphthalen-2-ol,1
C(CO)O,"ethane-1,2-diol",1
CC(CO)O,"propane-1,2-diol",0
C(CO)CO,"propane-1,3-diol",0
C(CCO)CO,"butane-1,4-diol",1
CC(C(C)O)O,"butane-2,3-diol",0
C(C(CO)O)O,"propane-1,2,3-triol",0
COC,methoxymethane,0
CCOCC,ethoxyethane,0
COC1=CC=CC=C1,methoxybenzene,1
CCOC1=CC=CC=C1,ethoxybenzene,1
CCCOC,1-methoxypropane,0
CC(C)OC,2-methoxypropane,0
CCCCOC,1-methoxybutane,0
C1COCCO1,"1,4-dioxane",1
C1CCOC1,oxolane,1
C1=COC=C1,furan,1
C1COCO1,"1,3-dioxolane",0
C1OCOCO1,"1,3,5-trioxane",0
C1COC1,oxetane,0
C1CO1,oxirane,1
CC1CO1,2-methyloxirane,1
C=O,methanal,1
CC=O,ethanal,1
CCC=O,propanal,0
CCCC=O,butanal,0
CCCCC=O,pentanal,0
CCCCCC=O,hexanal,0
CCCCCCC=O,heptanal,0
CCCCCCCC=O,octanal,0
CCCCCCCCC=O,nonanal,0
CCCCCCCCCC=O,decanal,0
C1=CC=C(C=C1)C=O,benzenecarbaldehyde,0
C1=COC(=C1)C=O,furan-2-carbaldehyde,1
CC(C)C=O,2-methylpropanal,0
CC(C)CC=O,3-methylbutanal,0
C=CC=O,prop-2-enal,1
CC=CC=O,but-2-enal,1
CC(=O)C,propan-2-one,0
CCC(=O)C,butan-2-one,0
CCCC(=O)C,pentan-2-one,0
CCC(=O)CC,pentan-3-one,0
CCCCC(=O)C,hexan-2-one,1
CCCC(=O)CC,hexan-3-one,0
CCCCCC(=O)C,heptan-2-one,0
CCCC(=O)CCC,heptan-4-one,0
CCCCCCC(=O)C,octan-2-one,0
C1CCC(=O)CC1,cyclohexanone,0
C1CCC(=O)C1,cyclopentanone,0
C1CCCC(=O)CC1,cycloheptanone,0
CC(=O)C1=CC=CC=C1,1-phenylethan-1-one,0
C(=O)O,methanoic acid,0
CC(=O)O,ethanoic acid,0
CCC(=O)O,propanoic acid,0
CCCC(=O)O,butanoic acid,0
CCCCC(=O)O,pentanoic acid,0
CCCCCC(=O)O,hexanoic acid,0
CCCCCCC(=O)O,heptanoic acid,0
CCCCCCCC(=O)O,octanoic acid,0
CCCCCCCCC(=O)O,nonanoic acid,0
CCCCCCCCCC(=O)O,decanoic acid,0
CC(C)C(=O)O,2-methylpropanoic acid,0
CC(C)CC(=O)O,3-methylbutanoic acid,0
CCCCC(CC)C(=O)O,2-ethylhexanoic acid,0
C1=CC=C(C=C1)C(=O)O,benzoic acid,0
CC1=CC=CC=C1C(=O)O,2-methylbenzoic acid,0
CC1=CC=C(C=C1)C(=O)O,4-methylbenzoic acid,0
C1=CC(=CC=C1C(=O)O)[N+](=O)[O-],4-nitrobenzoic acid,1
C1=CC=C(C=C1)CC(=O)O,2-phenylacetic acid,0
C1CCC(CC1)C(=O)O,cyclohexanecarboxylic acid,0
C=CC(=O)O,prop-2-enoic acid,0
CC(=C)C(=O)O,2-methylprop-2-enoic acid,0
C/C=C/C(=O)O,(E)-but-2-enoic acid,0
C=CCCC(=O)O,pent-4-enoic acid,0
C(=O)(C(=O)O)O,ethanedioic acid,0
C(C(=O)O)C(=O)O,propanedioic acid,0
C(CC(=O)O)C(=O)O,butanedioic acid,0
C(CC(=O)O)CC(=O)O,pentanedioic acid,0
C(CCC(=O)O)CC(=O)O,hexanedioic acid,0
C(CCC(=O)O)CCC(=O)O,heptanedioic acid,0
C(CCCC(=O)O)CCC(=O)O,octanedioic acid,0
C(CCCC(=O)O)CCCC(=O)O,nonanedioic acid,0
C(CCCCC(=O)O)CCCC(=O)O,decanedioic acid,0
C(=C/C(=O)O)\C(=O)O,(E)-but-2-enedioic acid,0
C(=C\C(=O)O)\C(=O)O,(Z)-but-2-enedioic acid,0
CC(C(=O)O)O,2-hydroxypropanoic acid,0
C(C(C(=O)O)O)C(=O)O,2-hydroxybutanedioic acid,0
[C@@H]([C@H](C(=O)O)O)(C(=O)O)O,"(2R,3R)-2,3-dihydroxybutanedioic acid",0
C(C(=O)O)C(CC(=O)O)(C(=O)O)O,"2-hydroxypropane-1,2,3-tricarboxylic acid",0
C(C(=O)O)O,2-hydroxyacetic acid,0
C1=CC=C(C=C1)C(C(=O)O)O,2-hydroxy-2-phenylacetic acid,0
C1=CC=C(C(=C1)C(=O)O)O,2-hydroxybenzoic acid,0
CC(=O)C(=O)O,2-oxopropanoic acid,0
