iupac_name,smiles
methane,C
ethane,CC
propane,CCC
butane,CCCC
pentane,CCCCC
hexane,CCCCCC
heptane,CCCCCCC
octane,CCCCCCCC
nonane,CCCCCCCCC
decane,CCCCCCCCCC
undecane,CCCCCCCCCCC
dodecane,CCCCCCCCCCCC
2-methylpropane,CC(C)C
2-methylbutane,CCC(C)C
"2,2-dimethylpropane",CC(C)(C)C
cyclopropane,C1CC1
cyclobutane,C1CCC1
cyclopentane,C1CCCC1
cyclohexane,C1CCCCC1
cycloheptane,C1CCCCCC1
methylcyclopentane,CC1CCCC1
methylcyclohexane,CC1CCCCC1
ethylcyclohexane,CCC1CCCCC1
2-methylpentane,CCCC(C)C
3-methylpentane,CCC(C)CC
"2,3-dimethylbutane",CC(C)C(C)C
2-methylhexane,CCCCC(C)C
3-methylhexane,CCCC(C)CC
ethene,C=C
prop-1-ene,CC=C
but-1-ene,CCC=C
but-2-ene,CC=CC
2-methylprop-1-ene,CC(=C)C
pent-1-ene,CCCC=C
pent-2-ene,CCC=CC
hex-1-ene,CCCCC=C
cyclohexene,C1CCC=CC1
cyclopentene,C1CC=CC1
"buta-1,3-diene",C=CC=C
"2-methylbuta-1,3-diene",CC(=C)C=C
ethenylbenzene,C=CC1=CC=CC=C1
ethyne,C#C
prop-1-yne,CC#C
but-1-yne,CCC#C
but-2-yne,CC#CC
pent-1-yne,CCCC#C
benzene,C1=CC=CC=C1
methylbenzene,CC1=CC=CC=C1
ethylbenzene,CCC1=CC=CC=C1
"1,2-dimethylbenzene",CC1=CC=CC=C1C
"1,3-dimethylbenzene",CC1=CC(=CC=C1)C
"1,4-dimethylbenzene",CC1=CC=C(C=C1)C
propylbenzene,CCCC1=CC=CC=C1
isopropylbenzene,CC(C)C1=CC=CC=C1
"1,2,3-trimethylbenzene",CC1=C(C(=CC=C1)C)C
"1,2,4-trimethylbenzene",CC1=CC(=C(C=C1)C)C
"1,3,5-trimethylbenzene",CC1=CC(=CC(=C1)C)C
naphthalene,C1=CC=C2C=CC=CC2=C1
azulene,C1=CC=C2C=CC=C2C=C1
"1,1'-biphenyl",C1=CC=C(C=C1)C2=CC=CC=C2
1H-indene,C1C=CC2=CC=CC=C21
anthracene,C1=CC=C2C=C3C=CC=CC3=CC2=C1
phenanthrene,C1=CC=C2C(=C1)C=CC3=CC=CC=C32
9H-fluorene,C1C2=CC=CC=C2C3=CC=CC=C31
pyrene,C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2
fluoranthene,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4
acenaphthylene,C1=CC2=C3C(=C1)C=CC3=CC=C2
"1,2-dihydroacenaphthylene",C1CC2=CC=CC3=C2C1=CC=C3
chrysene,C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC=CC=C43
triphenylene,C1=CC=C2C(=C1)C3=CC=CC=C3C4=CC=CC=C24
methanol,CO
ethanol,CCO
propan-1-ol,CCCO
propan-2-ol,CC(C)O
butan-1-ol,CCCCO
butan-2-ol,CCC(C)O
2-methylpropan-1-ol,CC(C)CO
2-methylpropan-2-ol,CC(C)(C)O
pentan-1-ol,CCCCCO
pentan-2-ol,CCCC(C)O
pentan-3-ol,CCC(CC)O
3-methylbutan-1-ol,CC(C)CCO
hexan-1-ol,CCCCCCO
heptan-1-ol,CCCCCCCO
octan-1-ol,CCCCCCCCO
nonan-1-ol,CCCCCCCCCO
decan-1-ol,CCCCCCCCCCO
prop-2-en-1-ol,C=CCO
cyclopentanol,C1CCC(C1)O
cyclohexanol,C1CCC(CC1)O
phenylmethanol,C1=CC=C(C=C1)CO
2-phenylethanol,C1=CC=C(C=C1)CCO
hydroxybenzene,C1=CC=C(C=C1)O
2-methylphenol,CC1=CC=CC=C1O
3-methylphenol,CC1=CC(=CC=C1)O
4-methylphenol,CC1=CC=C(C=C1)O
2-ethylphenol,CCC1=CC=CC=C1O
4-ethylphenol,CCC1=CC=C(C=C1)O
"2,4-dimethylphenol",CC1=CC(=C(C=C1)O)C
4-propylphenol,CCCC1=CC=C(C=C1)O
naphthalen-1-ol,C1=CC=C2C(=C1)C=CC=C2O
naphthalen-2-ol,C1=CC=C2C=C(C=CC2=C1)O
"ethane-1,2-diol",C(CO)O
"propane-1,2-diol",CC(CO)O
"propane-1,3-diol",C(CO)CO
"butane-1,4-diol",C(CCO)CO
"butane-2,3-diol",CC(C(C)O)O
"propane-1,2,3-triol",C(C(CO)O)O
methoxymethane,COC
ethoxyethane,CCOCC
methoxybenzene,COC1=CC=CC=C1
ethoxybenzene,CCOC1=CC=CC=C1
1-methoxypropane,CCCOC
2-methoxypropane,CC(C)OC
1-methoxybutane,CCCCOC
"1,4-dioxane",C1COCCO1
oxolane,C1CCOC1
furan,C1=COC=C1
"1,3-dioxolane",C1COCO1
"1,3,5-trioxane",C1OCOCO1
oxetane,C1COC1
oxirane,C1CO1
2-methyloxirane,CC1CO1
methanal,C=O
ethanal,CC=O
propanal,CCC=O
butanal,CCCC=O
pentanal,CCCCC=O
hexanal,CCCCCC=O
heptanal,CCCCCCC=O
octanal,CCCCCCCC=O
nonanal,CCCCCCCCC=O
decanal,CCCCCCCCCC=O
benzenecarbaldehyde,C1=CC=C(C=C1)C=O
furan-2-carbaldehyde,C1=COC(=C1)C=O
2-methylpropanal,CC(C)C=O
3-methylbutanal,CC(C)CC=O
prop-2-enal,C=CC=O
but-2-enal,CC=CC=O
propan-2-one,CC(=O)C
butan-2-one,CCC(=O)C
pentan-2-one,CCCC(=O)C
pentan-3-one,CCC(=O)CC
hexan-2-one,CCCCC(=O)C
hexan-3-one,CCCC(=O)CC
heptan-2-one,CCCCCC(=O)C
heptan-4-one,CCCC(=O)CCC
octan-2-one,CCCCCCC(=O)C
cyclohexanone,C1CCC(=O)CC1
cyclopentanone,C1CCC(=O)C1
cycloheptanone,C1CCCC(=O)CC1
1-phenylethan-1-one,CC(=O)C1=CC=CC=C1
methanoic acid,C(=O)O
ethanoic acid,CC(=O)O
propanoic acid,CCC(=O)O
butanoic acid,CCCC(=O)O
pentanoic acid,CCCCC(=O)O
hexanoic acid,CCCCCC(=O)O
heptanoic acid,CCCCCCC(=O)O
octanoic acid,CCCCCCCC(=O)O
nonanoic acid,CCCCCCCCC(=O)O
decanoic acid,CCCCCCCCCC(=O)O
2-methylpropanoic acid,CC(C)C(=O)O
3-methylbutanoic acid,CC(C)CC(=O)O
2-ethylhexanoic acid,CCCCC(CC)C(=O)O
benzoic acid,C1=CC=C(C=C1)C(=O)O
2-methylbenzoic acid,CC1=CC=CC=C1C(=O)O
4-methylbenzoic acid,CC1=CC=C(C=C1)C(=O)O
4-nitrobenzoic acid,C1=CC(=CC=C1C(=O)O)[N+](=O)[O-]
2-phenylacetic acid,C1=CC=C(C=C1)CC(=O)O
cyclohexanecarboxylic acid,C1CCC(CC1)C(=O)O
prop-2-enoic acid,C=CC(=O)O
2-methylprop-2-enoic acid,CC(=C)C(=O)O
(E)-but-2-enoic acid,C/C=C/C(=O)O
pent-4-enoic acid,C=CCCC(=O)O
ethanedioic acid,C(=O)(C(=O)O)O
propanedioic acid,C(C(=O)O)C(=O)O
butanedioic acid,C(CC(=O)O)C(=O)O
pentanedioic acid,C(CC(=O)O)CC(=O)O
hexanedioic acid,C(CCC(=O)O)CC(=O)O
heptanedioic acid,C(CCC(=O)O)CCC(=O)O
octanedioic acid,C(CCCC(=O)O)CCC(=O)O
nonanedioic acid,C(CCCC(=O)O)CCCC(=O)O
decanedioic acid,C(CCCCC(=O)O)CCCC(=O)O
(E)-but-2-enedioic acid,C(=C/C(=O)O)\C(=O)O
(Z)-but-2-enedioic acid,C(=C\C(=O)O)\C(=O)O
2-hydroxypropanoic acid,CC(C(=O)O)O
2-hydroxybutanedioic acid,C(C(C(=O)O)O)C(=O)O
"(2R,3R)-2,3-dihydroxybutanedioic acid",[C@@H]([C@H](C(=O)O)O)(C(=O)O)O
"2-hydroxypropane-1,2,3-tricarboxylic acid",C(C(=O)O)C(CC(=O)O)(C(=O)O)O
2-hydroxyacetic acid,C(C(=O)O)O
2-hydroxy-2-phenylacetic acid,C1=CC=C(C=C1)C(C(=O)O)O
2-hydroxybenzoic acid,C1=CC=C(C(=C1)C(=O)O)O
2-oxopropanoic acid,CC(=O)C(=O)O
2-aminoacetic acid,C(C(=O)O)N
(2S)-2-aminopropanoic acid,C[C@@H](C(=O)O)N
(2S)-2-amino-3-methylbutanoic acid,CC(C)[C@@H](C(=O)O)N
(2S)-2-amino-4-methylpentanoic acid,CC(C)C[C@@H](C(=O)O)N
"(2S,3S)-2-amino-3-methylpentanoic acid",CC[C@H](C)[C@@H](C(=O)O)N
(2S)-2-amino-3-hydroxypropanoic acid,C([C@@H](C(=O)O)N)O
"(2S,3R)-2-amino-3-hydroxybutanoic acid",C[C@H]([C@@H](C(=O)O)N)O
(2R)-2-amino-3-sulfanylpropanoic acid,C([C@@H](C(=O)O)N)S
(2S)-2-amino-4-methylsulfanylbutanoic acid,CSCC[C@@H](C(=O)O)N
(2S)-pyrrolidine-2-carboxylic acid,C1C[C@H](NC1)C(=O)O
(2S)-2-amino-3-phenylpropanoic acid,C1=CC=C(C=C1)C[C@@H](C(=O)O)N
(2S)-2-amino-3-(4-hydroxyphenyl)propanoic acid,C1=CC(=CC=C1C[C@@H](C(=O)O)N)O
(2S)-2-amino-3-(1H-indol-3-yl)propanoic acid,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N
(2S)-2-amino-3-(1H-imidazol-5-yl)propanoic acid,C1=C(NC=N1)C[C@@H](C(=O)O)N
"(2S)-2,6-diaminohexanoic acid",C(CCN)C[C@@H](C(=O)O)N
(2S)-2-amino-5-(diaminomethylideneamino)pentanoic acid,C(C[C@@H](C(=O)O)N)CN=C(N)N
"(2S)-2,4-diamino-4-oxobutanoic acid",C([C@@H](C(=O)O)N)C(=O)N
"(2S)-2,5-diamino-5-oxopentanoic acid",C(CC(=O)N)[C@@H](C(=O)O)N
(2S)-2-aminobutanedioic acid,C([C@@H](C(=O)O)N)C(=O)O
(2S)-2-aminopentanedioic acid,C(CC(=O)O)[C@@H](C(=O)O)N
"(2S)-2,5-diaminopentanoic acid",C(C[C@@H](C(=O)O)N)CN
(2S)-2-amino-5-(carbamoylamino)pentanoic acid,C(C[C@@H](C(=O)O)N)CNC(=O)N
2-aminoethanesulfonic acid,C(CS(=O)(=O)O)N
2-(trimethylazaniumyl)acetate,C[N+](C)(C)CC(=O)[O-]
3-hydroxy-4-(trimethylazaniumyl)butanoate,C[N+](C)(C)CC(CC(=O)[O-])O
2-[carbamimidoyl(methyl)amino]acetic acid,CN(CC(=O)O)C(=N)N
"(2S,4R)-4-hydroxypyrrolidine-2-carboxylic acid",C1[C@H](CN[C@@H]1C(=O)O)O
"(3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol",C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O
"(3S,4R,5R)-2-(hydroxymethyl)oxane-2,3,4,5-tetrol",C1[C@H]([C@H]([C@@H](C(O1)(CO)O)O)O)O
"(3R,4S,5R,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol",C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)O)O)O)O)O
"(3S,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol",C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O
"(3R,4R,5R)-oxane-2,3,4,5-tetrol",C1[C@H]([C@H]([C@H](C(O1)O)O)O)O
"(3R,4S,5S)-oxane-2,3,4,5-tetrol",C1[C@@H]([C@@H]([C@H](C(O1)O)O)O)O
"(3R,4S,5R)-oxane-2,3,4,5-tetrol",C1[C@H]([C@@H]([C@H](C(O1)O)O)O)O
"(3S,4R,5S,6S)-6-methyloxane-2,3,4,5-tetrol",C[C@H]1[C@H]([C@H]([C@@H](C(O1)O)O)O)O
"(3R,4R,5R,6S)-6-methyloxane-2,3,4,5-tetrol",C[C@H]1[C@@H]([C@H]([C@H](C(O1)O)O)O)O
"(3S,4S,5R)-2-(hydroxymethyl)oxane-2,3,4,5-tetrol",C1[C@H]([C@@H]([C@@H](C(O1)(CO)O)O)O)O
"(3R,4R,5R)-1,3,4,5,6-pentahydroxyhexan-2-one",C([C@H]([C@H]([C@H](C(=O)CO)O)O)O)O
"(3S,4R,5S)-2-(hydroxymethyl)oxane-2,3,4,5-tetrol",C1[C@@H]([C@H]([C@@H](C(O1)(CO)O)O)O)O
"(2R,3R,4S,5S,6R)-2-[(2S,3S,4S,5R)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O
"(2R,3R,4S,5R,6S)-2-(hydroxymethyl)-6-[(2R,3S,4R,5R)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxane-3,4,5-triol",C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](OC([C@@H]([C@H]2O)O)O)CO)O)O)O)O
"(2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-[(2R,3S,4R,5R)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxane-3,4,5-triol",C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](OC([C@@H]([C@H]2O)O)O)CO)O)O)O)O
"(2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxane-3,4,5-triol",C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O)O)O
"(2R,3S,4S,5R,6S)-2-(hydroxymethyl)-6-[(2R,3S,4R,5R)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxane-3,4,5-triol",C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](OC([C@@H]([C@H]2O)O)O)CO)O)O)O)O
"(2R,3R,4R,5S)-hexane-1,2,3,4,5,6-hexol",C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O
"(2R,3R,4R,5R)-hexane-1,2,3,4,5,6-hexol",C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O
"(2R,4S)-pentane-1,2,3,4,5-pentol",
"(2S,3R)-butane-1,2,3,4-tetrol",C([C@H]([C@H](CO)O)O)O
"cyclohexane-1,2,3,4,5,6-hexol",C1(C(C(C(C(C1O)O)O)O)O)O
"(2S,3S,4S,5R)-3,4,5,6-tetrahydroxyoxane-2-carboxylic acid",[C@@H]1([C@@H]([C@H](OC([C@@H]1O)O)C(=O)O)O)O
7H-purin-6-amine,C1=NC2=NC=NC(=C2N1)N
"2-amino-1,7-dihydropurin-6-one",C1=NC2=C(N1)C(=O)NC(=N2)N
6-amino-1H-pyrimidin-2-one,C1=C(NC(=O)N=C1)N
"5-methyl-1H-pyrimidine-2,4-dione",CC1=CNC(=O)NC1=O
"1H-pyrimidine-2,4-dione",C1=CNC(=O)NC1=O
"3,7-dihydropurine-2,6-dione",C1=NC2=C(N1)C(=O)NC(=O)N2
"1,7-dihydropurin-6-one",C1=N[13C]2=C(C(=O)N1)[15NH][13CH]=N2
7H-purine,C1=C2C(=NC=N1)N=CN2
carbonyl diamide,C(=O)(N)N
methanamine,CN
ethanamine,CCN
propan-1-amine,CCCN
propan-2-amine,CC(C)N
butan-1-amine,CCCCN
butan-2-amine,CCC(C)N
pentan-1-amine,CCCCCN
hexan-1-amine,CCCCCCN
cyclohexanamine,C1CCC(CC1)N
N-methylethanamine,CCNC
"N,N-dimethylmethanamine",CN(C)C
N-ethylethanamine,CCNCC
"N,N-diethylethanamine",CCN(CC)CC
benzenamine,C1=CC=C(C=C1)N
2-methylaniline,CC1=CC=CC=C1N
3-methylaniline,CC1=CC(=CC=C1)N
4-methylaniline,CC1=CC=C(C=C1)N
4-chloroaniline,C1=CC(=CC=C1N)Cl
4-nitroaniline,C1=CC(=CC=C1N)[N+](=O)[O-]
N-phenylaniline,C1=CC=C(C=C1)NC2=CC=CC=C2
phenylhydrazine,C1=CC=C(C=C1)NN
nitrobenzene,C1=CC=C(C=C1)[N+](=O)[O-]
nitromethane,C[N+](=O)[O-]
1-nitroethane,CC[N+](=O)[O-]
1-nitropropane,CCC[N+](=O)[O-]
2-nitropropane,CC(C)[N+](=O)[O-]
hydrazine,NN
methylhydrazine,CNN
hydroxylamine,NO
methanamide,C(=O)N
ethanamide,CC(=O)N
benzamide,C1=CC=C(C=C1)C(=O)N
prop-2-enamide,C=CC(=O)N
ethanenitrile,CC#N
propanenitrile,CCC#N
butanenitrile,CCCC#N
pentanenitrile,CCCCC#N
benzonitrile,C1=CC=C(C=C1)C#N
prop-2-enenitrile,C=CC#N
chloromethane,CCl
dichloromethane,C(Cl)Cl
trichloromethane,C(Cl)(Cl)Cl
tetrachloromethane,C(Cl)(Cl)(Cl)Cl
bromomethane,CBr
iodomethane,CI
fluoromethane,CF
chloroethane,CCCl
bromoethane,CCBr
"1,2-dichloroethane",C(CCl)Cl
"1,1-dichloroethane",CC(Cl)Cl
"1,1,1-trichloroethane",CC(Cl)(Cl)Cl
"1,1,2-trichloroethane",C(C(Cl)Cl)Cl
"1,2-dibromoethane",C(CBr)Br
chloroethene,C=CCl
"1,1-dichloroethene",C=C(Cl)Cl
"1,1,2-trichloroethene",C(=C(Cl)Cl)Cl
"1,1,2,2-tetrachloroethene",C(=C(Cl)Cl)(Cl)Cl
bromoethene,C=CBr
chlorobenzene,C1=CC=C(C=C1)Cl
fluorobenzene,C1=CC=C(C=C1)F
bromobenzene,C1=CC=C(C=C1)Br
iodobenzene,C1=CC=C(C=C1)I
"1,2-dichlorobenzene",C1=CC=C(C(=C1)Cl)Cl
"1,3-dichlorobenzene",C1=CC(=CC(=C1)Cl)Cl
"1,4-dichlorobenzene",C1=CC(=CC=C1Cl)Cl
"1,2,4-trichlorobenzene",C1=CC(=C(C=C1Cl)Cl)Cl
"1,2,3,4,5,6-hexachlorobenzene",C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)Cl
"2,3,4,5,6-pentachlorophenol",C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O
1-chloronaphthalene,C1=CC=C2C(=C1)C=CC=C2Cl
2-chloroethanol,C(CCl)O
2-bromoethanol,C(CBr)O
3-chloroprop-1-ene,C=CCCl
hydrogen sulfide,S
carbon disulfide,C(=S)=S
dimethyl sulfide,CSC
dimethyl sulfoxide,CS(=O)C
dimethyl sulfone,CS(=O)(=O)C
methanesulfonic acid,CS(=O)(=O)O
ethanesulfonic acid,CCS(=O)(=O)O
benzenesulfonic acid,C1=CC=C(C=C1)S(=O)(=O)O
thiophene,C1=CSC=C1
thiolane,C1CCSC1
thiane,C1CCSCC1
oxidane,O
sodium chloride,[Na+].[Cl-]
potassium chloride,[Cl-].[K+]
calcium dichloride,[Cl-].[Cl-].[Ca+2]
magnesium dichloride,[Mg+2].[Cl-].[Cl-]
sodium bromide,[Na+].[Br-]
potassium bromide,[K+].[Br-]
sodium iodide,[Na+].[I-]
sodium fluoride,[F-].[Na+]
sodium hydroxide,[OH-].[Na+]
potassium hydroxide,[OH-].[K+]
lithium hydroxide,[Li+].[OH-]
calcium oxide,O=[Ca]
calcium hydroxide,[OH-].[OH-].[Ca+2]
magnesium oxide,O=[Mg]
magnesium hydroxide,[OH-].[OH-].[Mg+2]
sodium carbonate,C(=O)([O-])[O-].[Na+].[Na+]
potassium carbonate,C(=O)([O-])[O-].[K+].[K+]
sodium hydrogen carbonate,C(=O)(O)[O-].[Na+]
calcium carbonate,C(=O)([O-])[O-].[Ca+2]
barium sulfate,[O-]S(=O)(=O)[O-].[Ba+2]
barium chloride,[Cl-].[Cl-].[Ba+2]
copper sulfate,[O-]S(=O)(=O)[O-].[Cu+2]
zinc chloride,Cl[Zn]Cl
zinc oxide,[O-2].[Zn+2]
zinc sulfate,[O-]S(=O)(=O)[O-].[Zn+2]
iron(II) sulfate,[O-]S(=O)(=O)[O-].[Fe+2]
manganese dioxide,O=[Mn]=O
chromium trioxide,O=[Cr](=O)=O
arsenic trioxide,[O-2].[O-2].[O-2].[As+3].[As+3]
lead(II) oxide,O=[Pb]
mercury(II) chloride,Cl[Hg]Cl
nickel(II) chloride,Cl[Ni]Cl
cobalt(II) chloride,Cl[Co]Cl
cadmium chloride,Cl[Cd]Cl
thallium(I) chloride,Cl[Tl]
beryllium dichloride,[Be+2].[Cl-].[Cl-]
selenium dioxide,O=[Se]=O
vanadium pentoxide,O=[V](=O)O[V](=O)=O
antimony trioxide,[O-2].[O-2].[O-2].[Sb+3].[Sb+3]
bismuth(III) oxide,
silicon dioxide,O=[Si]=O
titanium dioxide,O=[Ti]=O
aluminium oxide,[O-2].[O-2].[O-2].[Al+3].[Al+3]
iron(III) oxide,
silver nitrate,[N+](=O)([O-])[O-].[Ag+]
ammonium nitrate,[NH4+].[N+](=O)([O-])[O-]
potassium nitrate,[N+](=O)([O-])[O-].[K+]
sodium nitrate,[N+](=O)([O-])[O-].[Na+]
sodium nitrite,N(=O)[O-].[Na+]
potassium chlorate,[O-]Cl(=O)=O.[K+]
sodium chlorate,[O-]Cl(=O)=O.[Na+]
sulfuric acid,OS(=O)(=O)O
hydrochloric acid,Cl
nitric acid,[N+](=O)(O)[O-]
phosphoric acid,OP(=O)(O)O
hydrofluoric acid,F
perchloric acid,OCl(=O)(=O)=O
hydrobromic acid,Br
carbonic acid,C(=O)(O)O
carbon dioxide,C(=O)=O
carbon monoxide,[C-]#[O+]
nitrogen,N#N
oxygen,O=O
argon,[Ar]
helium,[He]
neon,[Ne]
krypton,[Kr]
xenon,[Xe]
fluorine,FF
chlorine,ClCl
bromine,BrBr
ammonia,N
nitrous oxide,[N-]=[N+]=O
nitrogen dioxide,N(=O)[O]
sulfur dioxide,O=S=O
sulfur trioxide,O=S(=O)=O
hydrogen chloride,Cl
hydrogen bromide,Br
hydrogen fluoride,F
phosphane,P
arsane,[AsH3]
silane,[SiH4]
borane,B
stibane,[SbH3]
hydrogen cyanide,C#N
dinitrogen tetroxide,[N+](=O)([N+](=O)[O-])[O-]
sodium cyanide,[C-]#N.[Na+]
potassium cyanide,[C-]#N.[K+]
carbononitridic chloride,C(#N)Cl
sodium azide,[N-]=[N+]=[N-].[Na+]
"benzene-1,2-diol",C1=CC=C(C(=C1)O)O
"benzene-1,3-diol",C1=CC(=CC(=C1)O)O
"benzene-1,4-diol",C1=CC(=CC=C1O)O
