smiles,iupac_name,is_toxic
O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,"2,2-dichloro-N-[1,3-dihydroxy-1-(4-nitrophenyl)propan-2-yl]acetamide",0
OCC(O)C(O)C(O)C(O)CO,"hexane-1,2,3,4,5,6-hexol",0
OC1C(O)C(O)C(O)C(O)C1O,"cyclohexane-1,2,3,4,5,6-hexol",0
CC(C)(CO)C(O)C(=O)NCCC(=O)O,"3-[(2,4-dihydroxy-3,3-dimethylbutanoyl)amino]propanoic acid",0
O=C(O)COc1nn(Cc2ccccc2)c2ccccc12,2-(1-benzylindazol-3-yl)oxyacetic acid,1
CC(Cc1ccccc1)N(C)Cc1ccccc1,N-benzyl-N-methyl-1-phenylpropan-2-amine,0
CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccc(O)cc3)C2SC1,7-[[2-amino-2-(4-hydroxyphenyl)acetyl]amino]-3-methyl-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid,1
O=C1CN(N=Cc2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1,5-hydroxy-3-[[5-(4-nitrophenyl)furan-2-yl]methylideneamino]-1H-imidazol-2-one,1
CC(C(=O)O)c1cccc(Oc2ccccc2)c1,2-(3-phenoxyphenyl)propanoic acid,1
O=C1OCCN1N=Cc1ccc([N+](=O)[O-])o1,"3-[(5-nitrofuran-2-yl)methylideneamino]-1,3-oxazolidin-2-one",1
CNC(C)C1CCC(N)C(OC2C(N)CC(N)C(OC3OCC(C)(O)C(NC)C3O)C2O)O1,"2-[4,6-diamino-3-[3-amino-6-[1-(methylamino)ethyl]oxan-2-yl]oxy-2-hydroxycyclohexyl]oxy-5-methyl-4-(methylamino)oxane-3,5-diol",0
NC(N)=NCCN1CCCCCCC1,2-[2-(azocan-1-yl)ethyl]guanidine,0
O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,"5-benzoyl-2,3-dihydro-1H-pyrrolizine-1-carboxylic acid",1
CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,[2-butyl-5-chloro-3-[[4-[2-(2H-tetrazol-5-yl)phenyl]phenyl]methyl]imidazol-4-yl]methanol,1
COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1,methyl N-(6-benzoyl-1H-benzimidazol-2-yl)carbamate,1
Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl,"2-(2,6-dichloro-3-methylanilino)benzoic acid",1
CN(C)C(=N)N=C(N)N,"3-(diaminomethylidene)-1,1-dimethylguanidine",0
NCC1OC(OC2C(CO)OC(OC3C(O)C(N)CC(N)C3OC3OC(CN)C(O)C(O)C3N)C2O)C(N)C(O)C1O,"5-amino-2-(aminomethyl)-6-[4,6-diamino-2-[4-[3-amino-6-(aminomethyl)-4,5-dihydroxyoxan-2-yl]oxy-3-hydroxy-5-(hydroxymethyl)oxolan-2-yl]oxy-3-hydroxycyclohexyl]oxyoxane-3,4-diol",0
CCCOc1ccc2nc(NC(=O)OC)[nH]c2c1,methyl N-(6-propoxy-1H-benzimidazol-2-yl)carbamate,1
