canonical_smiles,flat_smiles,api_name,stereo_prefix,reason
C[NH+](C)CCC(c1ccc(Cl)cc1)c1ccccn1,C[NH+](C)CCC(c1ccc(Cl)cc1)c1ccccn1,[3-(4-chlorophenyl)-3-pyridin-2-ylpropyl]-dimethylazanium,,collision_unresolvable
C[N+](C)CCC(c1ccc(Cl)cc1)c1ccccn1,C[N+](C)CCC(c1ccc(Cl)cc1)c1ccccn1,[3-(4-chlorophenyl)-3-pyridin-2-ylpropyl]-dimethylazanium,,collision_unresolvable
CCOP(=O)(Sc1ccccc1)Sc1ccccc1,CCOP(=O)(Sc1ccccc1)Sc1ccccc1,[ethoxy(phenylsulfanyl)phosphoryl]sulfanylbenzene,,collision_unresolvable
CCO[P+]([O-])(Sc1ccccc1)Sc1ccccc1,CCO[P+]([O-])(Sc1ccccc1)Sc1ccccc1,[ethoxy(phenylsulfanyl)phosphoryl]sulfanylbenzene,,collision_unresolvable
Cc1cc(Cl)ccc1/N=C/N(C)C,Cc1cc(Cl)ccc1N=CN(C)C,"N'-(4-chloro-2-methylphenyl)-N,N-dimethylmethanimidamide",,collision_unresolvable
Cc1cc(Cl)ccc1N=CN(C)C,Cc1cc(Cl)ccc1N=CN(C)C,"N'-(4-chloro-2-methylphenyl)-N,N-dimethylmethanimidamide",,collision_unresolvable
CC(C)/N=c1/cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,CC(C)N=c1cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,"N,5-bis(4-chlorophenyl)-3-propan-2-yliminophenazin-2-amine",,collision_unresolvable
CC(C)/N=c1\cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,CC(C)N=c1cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,"N,5-bis(4-chlorophenyl)-3-propan-2-yliminophenazin-2-amine",,collision_unresolvable
O=c1nc([O-])n(Cl)c(=O)n1Cl,O=c1nc([O-])n(Cl)c(=O)n1Cl,"1,5-dichloro-4,6-dioxo-1,3,5-triazin-2-olate",,collision_unresolvable
O=c1[n-]c(=O)n(Cl)c(=O)n1Cl,O=c1[n-]c(=O)n(Cl)c(=O)n1Cl,"1,5-dichloro-4,6-dioxo-1,3,5-triazin-2-olate",,collision_unresolvable
[O-][n+]1ccccc1[S-],[O-][n+]1ccccc1[S-],1-oxidopyridine-2-thione,,collision_unresolvable
[O-]n1ccccc1=S,[O-]n1ccccc1=S,1-oxidopyridine-2-thione,,collision_unresolvable
Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],3-hydroxy-2-imino-6-piperidin-1-ylpyrimidin-4-amine,,collision_unresolvable
N=c1cc(N2CCCCC2)nc(N)n1O,N=c1cc(N2CCCCC2)nc(N)n1O,3-hydroxy-2-imino-6-piperidin-1-ylpyrimidin-4-amine,,collision_unresolvable
CC(=O)N=c1sc(S(N)(=O)=O)nn1C,CC(=O)N=c1sc(S(N)(=O)=O)nn1C,"N-(3-methyl-5-sulfamoyl-1,3,4-thiadiazol-2-ylidene)acetamide",,collision_unresolvable
CC(=O)/N=c1\sc(S(N)(=O)=O)nn1C,CC(=O)N=c1sc(S(N)(=O)=O)nn1C,"N-(3-methyl-5-sulfamoyl-1,3,4-thiadiazol-2-ylidene)acetamide",,collision_unresolvable
Cc1cccc(N=Nc2ccc(N(C)C)cc2)c1,Cc1cccc(N=Nc2ccc(N(C)C)cc2)c1,"N,N-dimethyl-4-[(3-methylphenyl)diazenyl]aniline",,collision_unresolvable
Cc1cccc(/N=N/c2ccc(N(C)C)cc2)c1,Cc1cccc(N=Nc2ccc(N(C)C)cc2)c1,"N,N-dimethyl-4-[(3-methylphenyl)diazenyl]aniline",,collision_unresolvable
O=C(NCC1CCCC[NH2+]1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,O=C(NCC1CCCC[NH2+]1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,"N-(piperidin-1-ium-2-ylmethyl)-2,5-bis(2,2,2-trifluoroethoxy)benzamide",,collision_unresolvable
O=C(NCC1CCCC[N+]1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,O=C(NCC1CCCC[N+]1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,"N-(piperidin-1-ium-2-ylmethyl)-2,5-bis(2,2,2-trifluoroethoxy)benzamide",,collision_unresolvable
NC1=[NH+]CC2c3ccccc3Cc3ccccc3N12,NC1=[NH+]CC2c3ccccc3Cc3ccccc3N12,"4-aza-2-azoniatetracyclo[12.4.0.02,6.07,12]octadeca-1(18),2,7,9,11,14,16-heptaen-3-amine",,collision_unresolvable
[NH2+]=C1[N]CC2c3ccccc3Cc3ccccc3N12,[NH2+]=C1[N]CC2c3ccccc3Cc3ccccc3N12,"4-aza-2-azoniatetracyclo[12.4.0.02,6.07,12]octadeca-1(18),2,7,9,11,14,16-heptaen-3-amine",,collision_unresolvable
C[NH+](C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,C[NH+](C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,3-[5-cyano-1-(4-fluorophenyl)-3H-2-benzofuran-1-yl]propyl-dimethylazanium,,collision_unresolvable
C[N+](C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,C[N+](C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,3-[5-cyano-1-(4-fluorophenyl)-3H-2-benzofuran-1-yl]propyl-dimethylazanium,,collision_unresolvable
C[NH+]1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,C[NH+]1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,"[(1S,5R)-8-methyl-8-azoniabicyclo[3.2.1]octan-3-yl] 3-hydroxy-2-phenylpropanoate","(3R,6S,8r)-",collision_unresolvable
C[N+]1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,C[N+]1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,"[(1S,5R)-8-methyl-8-azoniabicyclo[3.2.1]octan-3-yl] 3-hydroxy-2-phenylpropanoate","(3R,6S,8r)-",collision_unresolvable
C[NH+]1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,C[NH+]1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,"(4R,4aR,7S,7aR,12bS)-3-methyl-1,2,3,4,4a,7,7a,13-octahydro-4,12-methanobenzofuro[3,2-e]isoquinolin-3-ium-7,9-diol","(5S,14R,15S,19R,20R)-",collision_unresolvable
