smiles,iupac_name,is_toxic
Fc1ccc(-n2cc(NCCN3CCCCC3)nn2)cc1F,"1-(3,4-difluorophenyl)-N-(2-piperidin-1-ylethyl)triazol-4-amine",1
COc1cc(N2Cc3ccc(Sc4ccc(F)cc4)nc3C2=O)ccc1OCCN1CCCC1,"2-(4-fluorophenyl)sulfanyl-6-[3-methoxy-4-(2-pyrrolidin-1-ylethoxy)phenyl]-5H-pyrrolo[3,4-b]pyridin-7-one",0
CCOC(=O)[C@H]1CC[C@@H](N2CC(NC(=O)CNc3nn(C(N)=O)c4ccc(C(F)(F)F)cc34)C2)CC1,ethyl 4-[3-[[2-[[1-carbamoyl-5-(trifluoromethyl)indazol-3-yl]amino]acetyl]amino]azetidin-1-yl]cyclohexane-1-carboxylate,0
N[C@@H](Cn1c(=O)cnc2ccc(F)cc21)C1CCC(NCc2ccc3c(n2)NC(=O)CO3)CC1,"(2R)-6-[[[4-[(1R)-1-amino-2-(7-fluoro-2-oxoquinoxalin-1-yl)ethyl]cyclohexyl]amino]methyl]-4H-pyrido[3,2-b][1,4]oxazin-3-one",0
O=C(NC1COc2cccc(-c3ccnc(CO)c3)c2C1)c1ccc(OCC(F)(F)F)nc1,"N-[5-[2-(hydroxymethyl)-4-pyridinyl]-3,4-dihydro-2H-chromen-3-yl]-6-(2,2,2-trifluoroethoxy)pyridine-3-carboxamide",0
Cc1cc(Nc2cncc(N[C@@H](C)c3ncc(F)cn3)n2)n[nH]1,"2-N-[(1S)-1-(5-fluoropyrimidin-2-yl)ethyl]-6-N-(5-methyl-1H-pyrazol-3-yl)pyrazine-2,6-diamine",0
CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,"S-(10,13-dimethyl-3,5'-dioxospiro[2,4,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthrene-17,2'-oxolane]-7-yl) ethanethioate",0
O=C(c1ccncc1)N1CCC2(CCN(Cc3cccc(Oc4ccccc4)c3)CC2)CC1,"[9-[(3-phenoxyphenyl)methyl]-3,9-diazaspiro[5.5]undecan-3-yl]-pyridin-4-ylmethanone",1
COc1ccc(-c2cc(-c3ccc(C(=O)N(C)C)cc3)cnc2N)cn1,"4-[6-amino-5-(6-methoxy-3-pyridinyl)-3-pyridinyl]-N,N-dimethylbenzamide",0
N[C@H]1C[C@@H](N2Cc3nn4cccnc4c3C2)CC[C@@H]1c1cc(F)c(F)cc1F,"(1S,2R,5S)-5-(4,7,8,12-tetrazatricyclo[6.4.0.02,6]dodeca-1,6,9,11-tetraen-4-yl)-2-(2,4,5-trifluorophenyl)cyclohexan-1-amine",0
CN(C)Cc1ccccc1-c1ccc(NC(=O)Nc2cccnc2Oc2ccccc2C(C)(C)C)c(F)c1,1-[2-(2-tert-butylphenoxy)-3-pyridinyl]-3-[4-[2-[(dimethylamino)methyl]phenyl]-2-fluorophenyl]urea,1
Cc1ccc(NC(=O)N[C@@H]2N=C(c3ccccc3)c3ccccc3N(C)C2=O)cc1,"1-(1-methyl-2-oxo-5-phenyl-3H-1,4-benzodiazepin-3-yl)-3-(4-methylphenyl)urea",1
COc1cccc(-n2cc3nc(-c4ccccc4C)n(CC4CCCN(C(C)C)C4)c(=O)c3n2)c1,"2-(3-methoxyphenyl)-5-(2-methylphenyl)-6-[(1-propan-2-ylpiperidin-3-yl)methyl]pyrazolo[4,3-d]pyrimidin-7-one",0
C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3c[nH]c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,N-[5-[[5-chloro-4-(1H-indol-3-yl)pyrimidin-2-yl]amino]-2-[2-(dimethylamino)ethyl-methylamino]-4-methoxyphenyl]prop-2-enamide,0
Cc1nc2cc3c(cc2o1)CCN(CCCSc1nnc(C2CCOCC2)n1C)CC3,"2-methyl-7-[3-[[4-methyl-5-(oxan-4-yl)-1,2,4-triazol-3-yl]sulfanyl]propyl]-5,6,8,9-tetrahydro-[1,3]oxazolo[4,5-h][3]benzazepine",0
COc1ccc(OC2CN(C(=O)NC3CCN(Cc4ccn(-c5ccc(C(F)(F)F)cc5)c4)CC3)C2)cc1,3-(4-methoxyphenoxy)-N-[1-[[1-[4-(trifluoromethyl)phenyl]pyrrol-3-yl]methyl]piperidin-4-yl]azetidine-1-carboxamide,1
O=C1COc2ccc(CNC34CCC(C[C@]5(O)Cn6c(=O)ccc7nc(Cl)c(F)c5c76)(CC3)OC4)nc2N1,"6-[[[1-[[(3R)-6-chloro-5-fluoro-3-hydroxy-11-oxo-1,7-diazatricyclo[6.3.1.04,12]dodeca-4,6,8(12),9-tetraen-3-yl]methyl]-2-oxabicyclo[2.2.2]octan-4-yl]amino]methyl]-4H-pyrido[3,2-b][1,4]oxazin-3-one",0
O=S(=O)(c1ccc(F)cc1)N1CCN(CCc2ccc(F)cc2F)CC1,"1-[2-(2,4-difluorophenyl)ethyl]-4-(4-fluorophenyl)sulfonylpiperazine",1
CC(C)(O)c1nc2cc(Cl)ccc2n1[C@H]1CC[C@@H](NC[C@H]2Cc3ccc(C#N)cc3C2)CC1,"(2S)-2-[[[4-[5-chloro-2-(2-hydroxypropan-2-yl)benzimidazol-1-yl]cyclohexyl]amino]methyl]-2,3-dihydro-1H-indene-5-carbonitrile",1
O=C(CNC(=O)c1cccc(C(F)(F)F)c1)NC1CCN(CCC2CCN(C(=O)c3ccccc3F)CC2)C1,N-[2-[[1-[2-[1-(2-fluorobenzoyl)piperidin-4-yl]ethyl]pyrrolidin-3-yl]amino]-2-oxoethyl]-3-(trifluoromethyl)benzamide,0
COc1cc(CN2CCOCC2)ccc1Nc1ncc(Cl)c(-c2cnc3ccccn23)n1,"5-chloro-4-imidazo[1,2-a]pyridin-3-yl-N-[2-methoxy-4-(morpholin-4-ylmethyl)phenyl]pyrimidin-2-amine",1
O=C1NC(=O)/C(=C\c2ccccc2OCc2nnc(-c3ccccc3)o2)S1,"(5E)-5-[[2-[(5-phenyl-1,3,4-oxadiazol-2-yl)methoxy]phenyl]methylidene]-1,3-thiazolidine-2,4-dione",0
OC(c1ccccc1)(c1ccccc1)C1CCN(CCCOc2ccc(-c3ccccc3)cc2)CC1,diphenyl-[1-[3-(4-phenylphenoxy)propyl]piperidin-4-yl]methanol,1
Cc1cc(O[C@H](CCCCNCc2ccc(F)cc2)C(=O)NO)cc(C)c1F,"2-(4-fluoro-3,5-dimethylphenoxy)-6-[(4-fluorophenyl)methylamino]-N-hydroxyhexanamide",1
CN(C(=O)Cc1ccc(-n2cnnn2)cc1)C1CCN(Cc2nc3cc(F)ccc3s2)CC1,"N-[1-[(5-fluoro-1,3-benzothiazol-2-yl)methyl]piperidin-4-yl]-N-methyl-2-[4-(tetrazol-1-yl)phenyl]acetamide",1
N#CC=C1CCN(c2ccc(N3C[C@H](Cn4cc(F)nn4)OC3=O)cc2F)CC1,"2-[1-[2-fluoro-4-[(5R)-5-[(4-fluorotriazol-1-yl)methyl]-2-oxo-1,3-oxazolidin-3-yl]phenyl]piperidin-4-ylidene]acetonitrile",1
O=C(O)c1ccc(Oc2ccc(CN3CCC(N4C(=O)N(C5CCCCC5)C[C@H]4c4ccccc4)CC3)cc2)cc1,4-[4-[[4-[(5R)-3-cyclohexyl-2-oxo-5-phenylimidazolidin-1-yl]piperidin-1-yl]methyl]phenoxy]benzoic acid,1
FC(F)(F)c1ccccc1CN(C1CCOCC1)C1CCNC1,N-(oxan-4-yl)-N-[[2-(trifluoromethyl)phenyl]methyl]pyrrolidin-3-amine,1
C[C@@H]1CCCN1CCCOc1ccc(N2CCN(C(=O)c3ccc(C#N)cc3)CC2=O)cc1,4-[4-[4-[3-[(2R)-2-methylpyrrolidin-1-yl]propoxy]phenyl]-3-oxopiperazine-1-carbonyl]benzonitrile,0
