smiles,iupac_name,common_name,t3db_id,cas,toxicity_class,toxicity_score,is_toxic,ld50_mg_kg,logp,mol_weight,source
[AsH6+3],arsenic(3+) ion,Arsenic,T3D0001,7440-38-2,supertoxic,6,1,1.8571428571428572,0.75,74.9216,t3db_local
[Pb+2],λ²-lead(2+) ion,Lead,T3D0002,7439-92-1,toxic,3,1,714.0,0.0299999999999999,207.2,t3db_local
[Hg+2],mercury(2+) ion,Mercury,T3D0003,7439-97-6,very toxic,4,1,57.0,0.62,200.59,t3db_local
C=CCl,chloroethene,Vinyl chloride,T3D0004,75-01-4,toxic,3,1,,1.4240064436666666,62.498,t3db_local
c1ccccc1,benzene,Benzene,T3D0006,71-43-2,toxic,3,1,500.0,1.973245816,78.1118,t3db_local
[Cd+2],cadmium(2+) ion,Cadmium,T3D0007,7440-43-9,toxic,3,1,,-0.07,112.411,t3db_local
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,"pentacyclo[10.6.2.0^{2,7}.0^{9,19}.0^{16,20}]icosa-1(18),2,4,6,8,10,12,14,16,19-decaene",Benzo[a]pyrene,T3D0009,50-32-8,toxic,3,1,,5.273404237333333,252.3093,t3db_local
c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13,"pentacyclo[10.7.1.0²,⁷.0⁸,²⁰.0¹³,¹⁸]icosa-1(19),2,4,6,8(20),9,11,13,15,17-decaene",Benzo[b]fluoranthene,T3D0010,205-99-2,toxic,3,1,,5.273404237333333,252.3093,t3db_local
ClC(Cl)Cl,trichloromethane,Chloroform,T3D0011,67-66-3,very toxic,4,1,,1.825300513666667,119.378,t3db_local
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,"1-chloro-4-[2,2,2-trichloro-1-(4-chlorophenyl)ethyl]benzene",Clofenotane,T3D0012,50-29-3,toxic,3,1,,6.4575023993333325,354.486,t3db_local
Clc1cccc(-c2ccc(Cl)c(Cl)c2Cl)c1Cl,"1,2,3-trichloro-4-(2,3-dichlorophenyl)benzene",Aroclor 1254,T3D0013,11097-69-1,harmful,2,1,,6.640694559666667,326.433,t3db_local
Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,"1,2,3-trichloro-4-(2,3,4-trichlorophenyl)benzene",Aroclor 1260,T3D0014,11096-82-5,harmful,2,1,,7.244739236,360.878,t3db_local
c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12,"pentacyclo[12.8.0.0^{3,12}.0^{4,9}.0^{15,20}]docosa-1,3,5,7,9,11,13,15,17,19,21-undecaene","Dibenzo[a,h]anthracene",T3D0015,53-70-3,toxic,3,1,,5.931152842666667,278.3466,t3db_local
ClC=C(Cl)Cl,"1,1,2-trichloroethene",Trichloroethylene,T3D0016,1979-01-06,supertoxic,6,1,5.0,2.17833483,131.388,t3db_local
ClC1=C(Cl)[C@]2(Cl)[C@@H]3[C@@H]4C[C@@H]([C@H]5O[C@@H]45)[C@@H]3[C@@]1(Cl)C2(Cl)Cl,"(1R,2S,3S,6R,7R,8S,9S,11R)-3,4,5,6,13,13-hexachloro-10-oxapentacyclo[6.3.1.1³,⁶.0²,⁷.0⁹,¹¹]tridec-4-ene",Dieldrin,T3D0017,60-57-1,very toxic,4,1,,3.9471772736666666,380.909,t3db_local
[Cr+6],λ⁶-chromium(6+) ion,Hexavalent chromium,T3D0018,18540-29-9,toxic,3,1,,-0.156,51.9961,t3db_local
p12p3p1p23,"tricyclo[1.1.0.0²,⁴]tetraphosphane",White Phosphorus,T3D0019,12185-10-3,supertoxic,6,1,1.0,1.3232,123.895,t3db_local
ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,"1,3,4,7,8,9,10,10-octachlorotricyclo[5.2.1.0^{2,6}]dec-8-ene",Chlordane,T3D0020,57-74-9,very toxic,4,1,100.0,5.269994390333333,409.779,t3db_local
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,"1-chloro-4-[2,2-dichloro-1-(4-chlorophenyl)ethenyl]benzene","P,P'-DDE",T3D0021,72-55-9,toxic,3,1,,6.105564200666667,318.025,t3db_local
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,"hexachlorobuta-1,3-diene",Hexachlorobutadiene,T3D0022,87-68-3,toxic,3,1,,3.616207560666666,260.761,t3db_local
ClC1=C(Cl)[C@]2(Cl)C3C4C=CC(C4)C3[C@@]1(Cl)C2(Cl)Cl,"(1R,8S)-1,8,9,10,11,11-hexachlorotetracyclo[6.2.1.1³,⁶.0²,⁷]dodeca-4,9-diene",Aldrin,T3D0024,309-00-2,very toxic,4,1,,4.729266718666667,364.91,t3db_local
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,"1-chloro-4-[2,2-dichloro-1-(4-chlorophenyl)ethyl]benzene","P,P'-DDD",T3D0025,72-54-8,slightly toxic,1,0,,6.110364791333334,320.041,t3db_local
Nc1ccc(-c2ccc(N)cc2)cc1,4-(4-aminophenyl)aniline,Benzidine,T3D0026,92-87-5,toxic,3,1,,1.96261927,184.2371,t3db_local
Clc1cc(Cl)cc(-c2cc(Cl)cc(Cl)c2)c1,"1,3-dichloro-5-(3,5-dichlorophenyl)benzene",Aroclor 1248,T3D0027,12672-29-6,harmful,2,1,,6.036649883333333,291.988,t3db_local
C=C1C(CCl)(CCl)C2(Cl)C(Cl)C(Cl)C1(Cl)C2(Cl)Cl,"1,4,5,6,7,7-hexachloro-2,2-bis(chloromethyl)-3-methylidenebicyclo[2.2.1]heptane",Toxaphene,T3D0031,8001-35-2,very toxic,4,1,,5.703755447333333,411.795,t3db_local
Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,"(1R,2S,3r,4R,5S,6r)-1,2,3,4,5,6-hexachlorocyclohexane",gamma-Hexachlorocyclohexane,T3D0032,58-89-9,toxic,3,1,,4.345541484,290.83,t3db_local
ClC(Cl)=C(Cl)Cl,tetrachloroethene,Tetrachloroethylene,T3D0033,127-18-4,harmful,2,1,2857.0,2.615465689333333,165.833,t3db_local
ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,"1,5,7,8,9,10,10-heptachlorotricyclo[5.2.1.0²,⁶]deca-3,8-diene",Heptachlor,T3D0034,76-44-8,toxic,3,1,,4.784291944666666,373.318,t3db_local
BrCCBr,"1,2-dibromoethane","1,2-Dibromoethane",T3D0035,106-93-4,toxic,3,1,,1.8714951566666664,187.861,t3db_local
Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@H](Cl)[C@@H](Cl)[C@@H]1Cl,"(1r,2r,3r,4r,5r,6r)-1,2,3,4,5,6-hexachlorocyclohexane",beta-Hexachlorocyclohexane,T3D0036,319-85-7,very toxic,4,1,,4.345541484,290.83,t3db_local
C=CC=O,prop-2-enal,Acrolein,T3D0037,107-02-8,very toxic,4,1,,0.3743310403333332,56.0633,t3db_local
CCOP(=S)(OCC)SCCSCC,"O,O-diethyl {[2-(ethylsulfanyl)ethyl]sulfanyl}phosphonothioate",Disulfoton,T3D0038,298-04-4,very toxic,4,1,,3.0289055800000004,274.404,t3db_local
c1ccc2cc3c(ccc4ccccc43)cc2c1,tetraphene,Benzo[a]anthracene,T3D0039,56-55-3,toxic,3,1,,4.941676085999999,228.2879,t3db_local
Nc1ccc(-c2ccc(N)c(Cl)c2)cc1Cl,4-(4-amino-3-chlorophenyl)-2-chloroaniline,"3,3'-Dichlorobenzidine",T3D0040,91-94-1,toxic,3,1,,3.170708622666666,253.127,t3db_local
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,"3,4,5,6,13,13-hexachloro-10-oxapentacyclo[6.3.1.1³,⁶.0²,⁷.0⁹,¹¹]tridec-4-ene",Endrin,T3D0041,72-20-8,very toxic,4,1,,3.9471772736666666,380.909,t3db_local
[Be+2],beryllium(2+) ion,Beryllium,T3D0042,7440-41-7,toxic,3,1,,0.0,9.0122,t3db_local
Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@H](Cl)[C@@H](Cl)[C@H]1Cl,"(1R,2S,3r,4R,5S,6s)-1,2,3,4,5,6-hexachlorocyclohexane",delta-Hexachlorocyclohexane,T3D0043,319-86-8,very toxic,4,1,,4.345541484,290.83,t3db_local
ClCC(Br)CBr,"1,2-dibromo-3-chloropropane","1,2-Dibromo-3-chloropropane",T3D0044,96-12-8,toxic,3,1,,2.5957520706666664,236.333,t3db_local
